index,Zip Code,Population,People / Sq. Mile
346,11050,"28,545","2,880.49"
347,11753,"11,648","2,878.28"
348,14225,"35,893","2,848.60"
349,11779,"39,321","2,844.32"
350,14617,"22,967","2,821.19"
351,11804,"5,014","2,794.57"
352,10965,"14,522","2,791.69"
353,11790,"18,374","2,775.54"
354,12304,"20,969","2,772.23"
355,13088,"22,139","2,742.59"
356,14227,"24,573","2,740.38"
357,11732,"3,804","2,737.67"
358,11754,"18,847","2,728.64"
359,11715,"4,407","2,723.33"
360,11752,"9,881","2,711.74"
361,13224,"9,052","2,711.69"
362,10983,"5,756","2,702.92"
363,11746,"62,828","2,697.38"
364,11727,"25,603","2,696.83"
365,14615,"16,158","2,674.93"
366,11951,"12,794","2,627.54"
367,14904,"16,862","2,619.31"
368,10607,"7,493","2,612.91"
369,11030,"17,148","2,610.13"
370,14068,"10,027","2,593.06"
371,13214,"8,764","2,578.47"
372,11721,"6,218","2,567.78"
373,13116,"3,351","2,557.51"
374,11576,"11,810","2,536.16"
375,14218,"20,203","2,531.91"
376,11740,"9,647","2,516.23"
377,10706,"9,187","2,511.34"
378,14305,"20,319","2,502.48"
379,14622,"12,027","2,441.99"
380,10562,"31,035","2,437.70"
381,11742,"12,119","2,419.70"
382,13417,"3,180","2,393.51"
383,12189,"16,783","2,363.06"
384,14303,"7,128","2,335.86"
385,10591,"21,590","2,321.65"
386,12207,"2,187","2,297.57"
387,11787,"34,794","2,258.42"
388,14905,"9,407","2,256.76"
389,11705,"8,007","2,248.98"
390,14221,"51,448","2,247.52"
391,11024,"7,564","2,245.55"
392,14618,"22,387","2,222.58"
393,11769,"9,729","2,202.53"
394,12601,"43,130","2,179.49"
395,10996,"7,126","2,178.17"
396,10004,"1,225","2,162.99"
397,11020,"4,043","2,153.65"
398,11791,"24,445","2,151.50"
399,11777,"9,025","2,080.21"
400,13212,"20,878","2,047.08"
401,12047,"18,167","2,043.44"
402,10604,"10,430","2,034.57"
403,10956,"31,071","2,031.75"
404,13090,"30,934","2,030.38"
405,11697,"4,226","2,029.93"
406,14626,"29,120","2,028.67"
407,14224,"40,509","2,014.20"
408,10523,"7,489","2,000.66"
409,11559,"8,103","1,999.99"
410,10580,"16,737","1,975.15"
411,10594,"5,460","1,939.75"
412,14219,"13,050","1,929.24"
413,10533,"7,464","1,897.03"
414,14612,"35,665","1,890.45"
415,10989,"9,381","1,885.12"
416,12205,"26,337","1,835.88"
417,11730,"16,050","1,833.81"
418,11967,"24,943","1,832.55"
419,11788,"16,836","1,803.33"
420,11797,"9,005","1,782.14"
421,10570,"12,366","1,781.36"
422,11763,"24,743","1,759.91"
423,10984,"2,298","1,736.36"
424,12130,899,"1,733.37"
425,11713,"9,160","1,732.65"
426,12303,"27,942","1,728.34"
427,10976,"1,795","1,678.55"
428,12466,"3,101","1,674.28"
429,14514,"4,722","1,673.19"
430,12543,"3,133","1,668.31"
431,11733,"20,382","1,651.09"
432,12204,"6,792","1,646.06"
433,12309,"30,057","1,611.39"
434,10048,55,"1,601.72"
435,12211,"10,684","1,588.40"
436,10511,"2,189","1,576.31"
437,11743,"41,566","1,559.41"
438,11766,"9,365","1,558.49"
439,11547,666,"1,555.33"
440,13495,"2,271","1,535.45"
441,12550,"52,084","1,526.83"
442,10920,"8,937","1,501.97"
443,11782,"15,897","1,453.01"
444,11934,"6,539","1,449.89"
445,13603,"7,498","1,448.79"
446,11778,"11,514","1,447.04"
447,11768,"21,676","1,444.73"
448,12110,"20,463","1,437.10"
449,14623,"27,387","1,420.83"
450,10548,"4,076","1,403.00"
451,14625,"10,792","1,394.14"
452,10464,"4,634","1,389.08"
453,10165,7,"1,388.41"
454,10547,"8,544","1,381.14"
455,11702,"14,975","1,376.33"
456,14304,"30,960","1,374.18"
457,10595,"7,482","1,373.58"
458,13211,"6,425","1,326.58"
459,14120,"43,144","1,324.90"
460,14624,"38,231","1,314.47"
461,11780,"14,920","1,299.60"
462,12508,"19,487","1,274.97"
463,10925,"4,986","1,274.28"
464,14450,"40,748","1,262.97"
465,10994,"6,493","1,261.80"
466,11747,"16,152","1,245.36"
467,11953,"12,364","1,243.55"
468,14051,"17,991","1,212.22"
469,10913,"5,076","1,207.75"
470,12603,"41,667","1,204.08"
471,11716,"10,360","1,199.21"
472,12182,"14,104","1,147.45"
473,12803,"7,394","1,145.43"
474,11764,"11,120","1,139.01"
475,12084,"4,214","1,136.55"
476,14228,"19,713","1,129.05"
477,12045,746,"1,125.11"
478,10598,"29,368","1,121.59"
479,14526,"19,789","1,120.06"
480,11786,"5,883","1,118.01"
481,12065,"38,866","1,109.20"
482,13905,"27,506","1,099.40"
483,13615,"1,027","1,099.36"
484,12144,"18,367","1,062.86"
485,14075,"42,082","1,039.63"
486,10950,"38,791","1,005.04"
487,10588,"2,006","1,003.06"
488,14580,"43,824",996.63
489,10541,"26,693",996.17
490,14504,"1,312",990.22
491,11955,"2,652",985.91
492,14534,"30,270",979.31
493,13209,"13,774",974.3
494,10537,"2,032",971.35
495,11724,"3,040",967.48
496,14467,"8,738",964.8
497,12590,"33,523",959.35
498,13039,"14,562",958.02
499,12471,174,953.9
500,10589,"7,363",943.27
601,14102,"1,111",454.44
602,14480,641,451.18
603,12804,"24,083",450.81
604,11968,"12,032",436.53
605,12533,"22,254",435.17
606,13027,"29,108",434.72
607,12061,"7,872",433.02
608,11901,"22,897",431.22
609,12472,"1,654",430.29
610,14425,"9,658",429.51
611,10536,"10,612",428.51
612,12513,"1,043",427.87
613,12901,"32,253",426.59
614,12979,"2,450",426.2
615,10504,"7,185",425.72
616,10980,"12,670",423.53
617,10921,"3,879",414.81
618,11963,"6,664",411.57
619,12771,"13,847",408
620,13215,"14,461",406.9
621,14094,"51,376",405.29
622,10527,"1,097",405.03
623,11977,"2,143",404.86
624,12027,"3,659",404.45
625,10512,"23,924",396.59
626,11569,"1,559",396.57
627,13341,54,394.32
628,14555,"1,287",393.57
629,14006,"10,884",393.03
630,10941,"13,118",390.34
631,14506,"1,289",390.22
632,13904,"9,619",387
633,12563,"7,252",383.81
634,13638,363,382.81
635,14750,"4,623",382.7
